state,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),PARTY,PRES PARTY,GENERAL %,GE WINNER INDICATOR,year
AK,S4AK00099,(I),Lisa,Murkowski,R,O,44.36%,W,2016
AK,S0AK00121,,Joe,Miller,LIB,O,29.16%,,2016
AK,S6AK00151,,Margaret,Stock,NAF,O,13.23%,,2016
AK,S8AK00082,,Ray,Metcalfe,D,O,11.62%,,2016
AL,S6AL00013,(I),Richard C.,Shelby,R,O,63.96%,W,2016
AL,S6AL00302,,Ron,Crumpton,D,O,35.87%,,2016
AR,S0AR00150,(I),John,Boozman,R,O,59.77%,W,2016
AR,S6AR00132,,Conner,Eldridge,D,O,36.17%,,2016
AR,S6AR00140,,Frank,Gilbert,LIB,O,3.96%,,2016
AR,S6AR00157,,Jason,Tate,W,O,0.10%,,2016
AZ,S6AZ00019,(I),John,McCain,R,O,53.71%,W,2016
AZ,S6AZ00225,,Ann,Kirkpatrick,D,O,40.75%,,2016
AZ,S6AZ00340,,Gary,Swing,GRE,O,5.48%,,2016
AZ,S6AZ00258,,Pat,Quinn,W,O,0.03%,,2016
AZ,S6AZ00357,,Merissa,Hamilton,LIB,O,0.00%,,2016
CA,S6CA00584,,Kamala D.,Harris,D,O,61.60%,W,2016
CA,S6CA00964,,Billy,Falling,R,O,39.40%,,2016
CA,n/a,,Ric M.,Llewellyn,NOP,O,0.00%,,2016
CA,S6CA00949,,John Thompson,Parker,PAF,O,0.00%,,2016
CA,S8CA00283,,Gail K.,Lightfoot,LIB,O,0.00%,,2016
CA,S6CA00956,,Pamela,Elizondo,GRE,O,0.00%,,2016
CO,S0CO00211,(I),Michael,Bennet,D,O,49.97%,W,2016
CO,S6CO00226,,Darryl,Glenn,R,O,44.31%,,2016
CO,S6CO00317,,Lily Tang,Williams,LIB,O,3.62%,,2016
CO,S6CO00366,,Arn,Menconi,GRE,O,1.34%,,2016
CO,S4CO00411,,Bill,Hammons,UPC,O,0.34%,,2016
CO,S6CO00374,,Dan,Chapin,UN,O,0.30%,,2016
CO,S4CO00429,,Don,Willoughby,W,O,0.00%,,2016
CT,S0CT00177,(I),Richard,Blumenthal,D,O,63.19%,W,2016
CT,S6CT05108,,Dan,Carter,R,O,34.62%,,2016
CT,S6CT05124,,Richard,Lion,LIB,O,1.14%,,2016
CT,S0CT00250,,Jeffery,Russell,GRE,O,1.05%,,2016
CT,n/a,,Andrew,Rule,W,O,0.00%,,2016
FL,S0FL00338,(I),Marco,Rubio,R,O,51.98%,W,2016
FL,S6FL00319,,Patrick,Murphy,D,O,44.31%,,2016
FL,S6FL00467,,Paul,Stanton,LBF,O,2.12%,,2016
FL,S6FL00327,,Bruce,Nathan,NPA,O,0.56%,,2016
FL,S6FL00533,,Charles Frederick,Tolbert,W,O,0.00%,,2016
GA,S6GA00119,(I),Johnny,Isakson,R,O,54.78%,W,2016
GA,S6GA00200,,Jim,Barksdale,D,O,41.03%,,2016
GA,S4GA11103,,Allen,Buckley,LIB,O,4.16%,,2016
GA,S6GA00259,,Michelle,Gates,W,O,0.02%,,2016
HI,S4HI00136,(I),Brian,Schatz,D,O,73.60%,W,2016
HI,S0HI00126,,John,Carroll,R,O,22.24%,,2016
HI,S4HI00151,,Joy J,Allison,CON,O,2.19%,,2016
HI,S4HI00169,,Michael A.,Kokoski,LIB,O,1.63%,,2016
HI,S6HI00305,,John M. (Raghu),Giuffre,AMS,O,0.33%,,2016
IA,S0IA00028,(I),Charles E.,Grassley,R,O,60.09%,W,2016
IA,S6IA00140,,Patty,Judge,D,O,35.66%,,2016
IA,S6IA00165,,Charles,Aldrich,LIB,O,2.71%,,2016
IA,S6IA00173,,Jim,Hennager,NPI,O,1.15%,,2016
IA,S6IA00157,,Michael,Luick-Thrams,NNE,O,0.29%,,2016
ID,S8ID00027,(I),Mike,Crapo,R,O,66.13%,W,2016
ID,S6ID00112,,Jerry,Sturgill,D,O,27.73%,,2016
ID,S6ID00104,,Ray J.,Writz,CON,O,6.14%,,2016
IL,S6IL00292,,Tammy,Duckworth,D,O,54.86%,W,2016
IL,S0IL00261,(I),Mark Steven,Kirk,R,O,39.78%,,2016
IL,S6IL00383,,Kenton,McMillen,LIB,O,3.20%,,2016
IL,S4IL00388,,Scott,Summers,GRE,O,2.14%,,2016
IL,S2IL00044,,Chad,Koppie,W,O,0.01%,,2016
