,state,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),PARTY,PRES PARTY,GENERAL %,GE WINNER INDICATOR,year,white,black,native,asian,hispanic,male,female,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
0,AK,S4AK00099,(I),Lisa,Murkowski,R,O,44.36%,W,2016,477964,32475,119924,59932,51599,388132,353762,10938,43177,53076,50046,48000,57364,62798,57655,49056,43089,45276,48891,50922,44400,32828,19559,11555,6844,6420
1,AK,S0AK00121,,Joe,Miller,LIB,O,29.16%,,2016,477964,32475,119924,59932,51599,388132,353762,10938,43177,53076,50046,48000,57364,62798,57655,49056,43089,45276,48891,50922,44400,32828,19559,11555,6844,6420
2,AK,S6AK00151,,Margaret,Stock,NAF,O,13.23%,,2016,477964,32475,119924,59932,51599,388132,353762,10938,43177,53076,50046,48000,57364,62798,57655,49056,43089,45276,48891,50922,44400,32828,19559,11555,6844,6420
3,AK,S8AK00082,,Ray,Metcalfe,D,O,11.62%,,2016,477964,32475,119924,59932,51599,388132,353762,10938,43177,53076,50046,48000,57364,62798,57655,49056,43089,45276,48891,50922,44400,32828,19559,11555,6844,6420
4,AL,S6AL00013,(I),Richard C.,Shelby,R,O,63.96%,W,2016,3242435,1312529,29770,74721,203845,2355586,2507714,58269,234296,303617,306381,320546,333330,332135,305352,301057,294656,312055,331963,338734,306358,271310,193359,138956,94173,86753
5,AL,S6AL00302,,Ron,Crumpton,D,O,35.87%,,2016,3242435,1312529,29770,74721,203845,2355586,2507714,58269,234296,303617,306381,320546,333330,332135,305352,301057,294656,312055,331963,338734,306358,271310,193359,138956,94173,86753
6,AR,S0AR00150,(I),John,Boozman,R,O,59.77%,W,2016,2211541,476508,24747,56891,218561,1467873,1520375,37737,152540,196543,197518,199113,203340,201935,190820,186984,177742,183202,195695,197906,180439,163301,120279,87460,59014,56680
7,AR,S6AR00132,,Conner,Eldridge,D,O,36.17%,,2016,2211541,476508,24747,56891,218561,1467873,1520375,37737,152540,196543,197518,199113,203340,201935,190820,186984,177742,183202,195695,197906,180439,163301,120279,87460,59014,56680
8,AR,S6AR00140,,Frank,Gilbert,LIB,O,3.96%,,2016,2211541,476508,24747,56891,218561,1467873,1520375,37737,152540,196543,197518,199113,203340,201935,190820,186984,177742,183202,195695,197906,180439,163301,120279,87460,59014,56680
9,AR,S6AR00157,,Jason,Tate,W,O,0.10%,,2016,2211541,476508,24747,56891,218561,1467873,1520375,37737,152540,196543,197518,199113,203340,201935,190820,186984,177742,183202,195695,197906,180439,163301,120279,87460,59014,56680
10,AZ,S6AZ00019,(I),John,McCain,R,O,53.71%,W,2016,3914166,328648,293666,249816,2144775,3442895,3488176,87702,351617,454157,459024,466504,484756,484407,448721,433471,411749,421465,425432,431930,399212,387374,295446,211749,139521,136834
11,AZ,S6AZ00225,,Ann,Kirkpatrick,D,O,40.75%,,2016,3914166,328648,293666,249816,2144775,3442895,3488176,87702,351617,454157,459024,466504,484756,484407,448721,433471,411749,421465,425432,431930,399212,387374,295446,211749,139521,136834
12,AZ,S6AZ00340,,Gary,Swing,GRE,O,5.48%,,2016,3914166,328648,293666,249816,2144775,3442895,3488176,87702,351617,454157,459024,466504,484756,484407,448721,433471,411749,421465,425432,431930,399212,387374,295446,211749,139521,136834
13,AZ,S6AZ00258,,Pat,Quinn,W,O,0.03%,,2016,3914166,328648,293666,249816,2144775,3442895,3488176,87702,351617,454157,459024,466504,484756,484407,448721,433471,411749,421465,425432,431930,399212,387374,295446,211749,139521,136834
14,AZ,S6AZ00357,,Merissa,Hamilton,LIB,O,0.00%,,2016,3914166,328648,293666,249816,2144775,3442895,3488176,87702,351617,454157,459024,466504,484756,484407,448721,433471,411749,421465,425432,431930,399212,387374,295446,211749,139521,136834
15,CA,S6CA00584,,Kamala D.,Harris,D,O,61.60%,W,2016,15333060,2434409,208531,5993244,15280773,19493361,19756656,498832,1988540,2539626,2522475,2579986,2812191,3069878,2847907,2650907,2509025,2606256,2589041,2515467,2173251,1820671,1268331,898262,637038,722333
16,CA,S6CA00964,,Billy,Falling,R,O,39.40%,,2016,15333060,2434409,208531,5993244,15280773,19493361,19756656,498832,1988540,2539626,2522475,2579986,2812191,3069878,2847907,2650907,2509025,2606256,2589041,2515467,2173251,1820671,1268331,898262,637038,722333
17,CA,n/a,,Ric M.,Llewellyn,NOP,O,0.00%,,2016,15333060,2434409,208531,5993244,15280773,19493361,19756656,498832,1988540,2539626,2522475,2579986,2812191,3069878,2847907,2650907,2509025,2606256,2589041,2515467,2173251,1820671,1268331,898262,637038,722333
18,CA,S6CA00949,,John Thompson,Parker,PAF,O,0.00%,,2016,15333060,2434409,208531,5993244,15280773,19493361,19756656,498832,1988540,2539626,2522475,2579986,2812191,3069878,2847907,2650907,2509025,2606256,2589041,2515467,2173251,1820671,1268331,898262,637038,722333
19,CA,S8CA00283,,Gail K.,Lightfoot,LIB,O,0.00%,,2016,15333060,2434409,208531,5993244,15280773,19493361,19756656,498832,1988540,2539626,2522475,2579986,2812191,3069878,2847907,2650907,2509025,2606256,2589041,2515467,2173251,1820671,1268331,898262,637038,722333
