state,year,white,black,native,asian,hispanic,male,female,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
CO,2012,3669739,226400,38864,169241,1085623,2601813,2588054,65093,273167,354258,342964,340513,365459,382508,377610,346555,361933,350440,375076,347944,293833,216436,142642,101480,76281,75675
RI,2006,848398,60467,5422,31152,117657,512962,550134,11875,48411,62766,69179,82755,79150,67202,61673,73913,81882,84040,75956,67162,49016,36203,30693,30656,26008,24556
WI,2010,4782204,377563,54099,138611,337786,2824224,2866039,69544,288282,367917,375748,399338,386130,372192,351281,342884,378903,435097,437188,388396,317761,228339,173910,140837,117241,119275
NV,2016,1513691,280632,28896,280213,836626,1473997,1466061,36972,147490,191074,188525,177662,185929,219451,208676,198443,189315,197534,195325,189170,173350,160492,115106,77217,46790,41537
DE,2004,583947,169532,2914,23136,51274,403483,427320,11029,42864,52309,59034,59679,57528,53304,53668,59968,65623,63228,54593,49067,39502,31746,27529,22160,15744,12228
MO,2014,4919859,740924,32508,130170,237469,2973987,3086943,75303,300630,389888,391491,395259,436052,401089,400633,361664,368832,378598,440418,424011,365007,300109,225252,162147,119405,125142
RI,2012,806862,65592,5223,35333,139891,509650,543251,11104,44541,59487,61970,76623,83655,68380,64028,59484,69591,76923,81106,75152,61979,49029,33250,26065,22840,27694
VT,2006,597881,6389,2763,7722,8137,306602,316290,6051,26422,35114,41341,48968,44401,31965,34737,41113,48182,52737,50540,45735,32699,23734,18870,16300,12573,11410
UT,2004,2026307,24201,28082,68126,254864,1204831,1196749,48684,181734,203697,197157,207942,241484,195505,172279,143961,152061,146465,127177,100488,77090,60017,49815,41442,30454,24128
IN,2014,5352442,652882,18060,142621,429228,3249425,3345808,83766,337080,440205,449637,455746,488369,423046,424132,402880,419615,421336,467327,452270,388610,311283,225083,161545,117205,126098
ME,2016,1259183,23067,10280,17891,21058,652585,678894,12751,52317,69104,73389,80226,77210,79636,77358,74884,75883,89225,101523,108918,101372,90588,61743,42366,30696,32290
IA,2010,2725937,103227,9757,58885,152932,1511120,1539618,39309,162732,200845,201163,216775,213988,198075,186259,176483,187319,215016,223410,205506,170407,124670,100408,83228,70074,75071
WY,2016,498369,8832,13369,6518,58413,298942,286559,7406,30739,40249,38402,36930,40363,40926,41022,38310,33024,32992,36060,41980,39286,32380,20860,14415,9622,10535
