Cand_Name,Cand_Office,Cand_Office_St,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat
"HILL, SID",S,AK,MPA/IND,CHALLENGER
"FISHER, JASON E",S,AL,DEM,CHALLENGER
"NANA, CHARLES",S,AL,DEM,CHALLENGER
"CALDWELL, VANN",S,AL,DEM,CHALLENGER
"JONES, DOUG",S,AL,DEM,INCUMBENT
"KENNEDY, ROBERT JR",S,AL,DEM,CHALLENGER
"HANSEN, LEWIS MICHAEL JR",S,AL,DEM,CHALLENGER
"MCGEE, BRIAN JAMES",S,AL,DEM,CHALLENGER
"BOYD JR, WILLIE 'WILL'  EUGENE",S,AL,DEM,CHALLENGER
"MCBRIDE, ARLESTER (MAC)",S,AL,MPA/IND,CHALLENGER
"BUSBY, GERALD LEE",S,AL,MPA/IND,CHALLENGER
"KIRTDOLL, EULAS DEVLIN SR",S,AL,MPA/IND,CHALLENGER
"CRUTCHER, CHANDA MILLS",S,AL,MPA/IND,CHALLENGER
"HENRY, WILLIAM ED",S,AL,REP,CHALLENGER
"MAXWELL, MARY BERNADETTE",S,AL,REP,CHALLENGER
"BRINSON, R RANDOLPH RANDY MD",S,AL,REP,CHALLENGER
"BERETTA, JAMES P",S,AL,REP,CHALLENGER
"STRANGE, LUTHER J III",S,AL,REP,INCUMBENT
"PITTMAN, LEE DAVIDSON MARBURY",S,AL,REP,CHALLENGER
"GENTILE, DOMINIC",S,AL,REP,CHALLENGER
"BREAULT, JOSEPH F.",S,AL,REP,CHALLENGER
"PEEPLES, BRYAN",S,AL,REP,CHALLENGER
"MOORE, ROY JUDGE",S,AL,REP,CHALLENGER
"BISHOP, RONALD HUBERT  JR MR",S,AL,MPA/IND,CHALLENGER
"MOSS, JIM",S,AZ,DEM,OPEN
"BISHOP, ROBERT BOB GRIMES",S,AZ,DEM,OPEN
"FOWLER, CHERYL 'CHE' R",S,AZ,DEM,OPEN
"ABBOUD, DEEDRA",S,AZ,DEM,OPEN
"RUBEN, DAVID ALAN",S,AZ,DEM,OPEN
"JETTE, MATT DR",S,AZ,DEM,OPEN
"RUSSELL, DALE CHRISTOPHER",S,AZ,DEM,OPEN
"SINEMA, KYRSTEN",S,AZ,DEM,OPEN
"REYES-AGUIRRE, EVE",S,AZ,MPA/IND,OPEN
"MARKS, DOUG",S,AZ,MPA/IND,OPEN
"BRITTAIN, CRAIG R",S,AZ,REP,OPEN
"GRIFFIN, MICHELLE MARIE DR PHD",S,AZ,REP,OPEN
"DIEGEL, CHRISTIAN",S,AZ,REP,OPEN
"ARPAIO, JOE",S,AZ,REP,OPEN
"TUTORA, NICHOLAS",S,AZ,REP,OPEN
"REDD, SHAWN",S,AZ,REP,OPEN
"WARD, KELLI",S,AZ,REP,OPEN
"PAULUS, GE",S,AZ,REP,OPEN
"MCSALLY, MARTHA",S,AZ,REP,OPEN
"DE LEON, KEVIN",S,CA,DEM,CHALLENGER
