Cand_Name,Cand_Office,Cand_Office_St,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Query_Name
"HILL, SID",S,AK,MPA/IND,CHALLENGER,SID HILL
"FISHER, JASON E",S,AL,DEM,CHALLENGER,JASON FISHER
"NANA, CHARLES",S,AL,DEM,CHALLENGER,CHARLES NANA
"CALDWELL, VANN",S,AL,DEM,CHALLENGER,VANN CALDWELL
"JONES, DOUG",S,AL,DEM,INCUMBENT,DOUG JONES
"KENNEDY, ROBERT JR",S,AL,DEM,CHALLENGER,ROBERT KENNEDY
"HANSEN, LEWIS MICHAEL JR",S,AL,DEM,CHALLENGER,LEWIS HANSEN
"MCGEE, BRIAN JAMES",S,AL,DEM,CHALLENGER,BRIAN MCGEE
"BOYD JR, WILLIE 'WILL'  EUGENE",S,AL,DEM,CHALLENGER,WILLIE BOYD JR
"MCBRIDE, ARLESTER (MAC)",S,AL,MPA/IND,CHALLENGER,ARLESTER MCBRIDE
"BUSBY, GERALD LEE",S,AL,MPA/IND,CHALLENGER,GERALD BUSBY
"KIRTDOLL, EULAS DEVLIN SR",S,AL,MPA/IND,CHALLENGER,EULAS KIRTDOLL
"CRUTCHER, CHANDA MILLS",S,AL,MPA/IND,CHALLENGER,CHANDA CRUTCHER
"HENRY, WILLIAM ED",S,AL,REP,CHALLENGER,WILLIAM HENRY
"MAXWELL, MARY BERNADETTE",S,AL,REP,CHALLENGER,MARY MAXWELL
"BRINSON, R RANDOLPH RANDY MD",S,AL,REP,CHALLENGER,R BRINSON
"BERETTA, JAMES P",S,AL,REP,CHALLENGER,JAMES BERETTA
"STRANGE, LUTHER J III",S,AL,REP,INCUMBENT,LUTHER STRANGE
"PITTMAN, LEE DAVIDSON MARBURY",S,AL,REP,CHALLENGER,LEE PITTMAN
"GENTILE, DOMINIC",S,AL,REP,CHALLENGER,DOMINIC GENTILE
"BREAULT, JOSEPH F.",S,AL,REP,CHALLENGER,JOSEPH BREAULT
"PEEPLES, BRYAN",S,AL,REP,CHALLENGER,BRYAN PEEPLES
